Curso/Instituição;Período;Disciplina;Carga Horária;Tipo de Disciplina;Eixo Curricular
UFRB;1;IA e Sociedade;60h;Obrigatória;Humanístico
CAI;1;algoritmos;60h;Obrigatória;
PUC_Rio;1;Projeto Integrado de Introdução à IA;60h;Projeto;Especialização em IA
PUC_Rio;1;Gestão de Projetos e Risco;60h;Obrigatória;Soft Skills e Empreendedorismo
PUC_Rio;1;Engenharia de Conhecimento e Lógica;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;1;Modelagem e Programação;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;1;Comunicação e Trabalho em Equipe;60h;Obrigatória;Soft Skills e Empreendedorismo
CAI;1;algoritmos;60h;Obrigatória;
CAI;1;algoritmos;60h;Obrigatória;
CAI;1;algoritmos;60h;Obrigatória;
CAI;1;algoritmos;60h;Obrigatória;
CAI;1;estrutura;60h;Obrigatória;
CAI;1;algoritmos;60h;Obrigatória;
CAI;1;estrutura;60h;Obrigatória;
CAI;1;estrutura;60h;Obrigatória;
CAI;1;estrutura;60h;Obrigatória;
CAI;1;estrutura;60h;Obrigatória;
