Curso/Instituição;Período;Disciplina;Carga Horária;Tipo de Disciplina;Eixo Curricular
PUC_Rio;1;IA e Sociedade;60h;Obrigatória;Humanístico
PUC_Rio;1;O Humano e o Fenômeno Religioso;60h;Obrigatória;Humanístico
PUC_Rio;1;Projeto Integrado de Introdução à IA;60h;Projeto;Especialização em IA
PUC_Rio;1;Gestão de Projetos e Risco;60h;Obrigatória;Soft Skills e Empreendedorismo
PUC_Rio;1;Engenharia de Conhecimento e Lógica;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;1;Modelagem e Programação;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;1;Comunicação e Trabalho em Equipe;60h;Obrigatória;Soft Skills e Empreendedorismo
PUC_Rio;2;Filosofia da Tecnologia;60h;Obrigatória;Humanístico
PUC_Rio;2;Orientação e Construção de Trajetória I;60h;Obrigatória;Soft Skills e Empreendedorismo
PUC_Rio;2;Projeto Integrado de Sistemas Inteligentes;60h;Projeto;Especialização em IA
PUC_Rio;2;Inteligência Computacional;60h;Obrigatória;Especialização em IA
PUC_Rio;2;Estrutura de Dados;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;2;Cálculo I / de uma Variável / Limites e Derivadas;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;2;Álgebra linear;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;3;Introdução à IA Centrada no Humano;60h;Obrigatória;Especialização em IA
PUC_Rio;3;Probabilidade e Estatística;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;3;Projeto Integrado de Ciência de Dados;60h;Projeto;Especialização em IA
PUC_Rio;3;Optativas de Introdução à Ciência de Dados;60h;Optativa;Especialização em IA
PUC_Rio;3;Introdução Prática à IA;60h;Obrigatória;Especialização em IA
PUC_Rio;3;Cálculo I / de uma Variável / Limites e Derivadas;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;3;Álgebra linear;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;4;Optativas de Cristianismo;60h;Optativa;Humanístico
PUC_Rio;4;Orientação e Construção de Trajetória II;60h;Obrigatória;Soft Skills e Empreendedorismo
PUC_Rio;4;Projeto Integrado de ML e Redes Neurais;60h;Projeto;Especialização em IA
PUC_Rio;4;Aprendizado de Máquina e Redes Neurais;60h;Obrigatória;Especialização em IA
PUC_Rio;4;Sistema de Bancos de Dados;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;4;Optativas de Pesquisa Operacional;60h;Optativa;Fundamentos Técnicos
PUC_Rio;4;Optativas de Estatística Avançada;60h;Optativa;Fundamentos Técnicos
PUC_Rio;4;Optativas de Identificação e Criação de Soluções;60h;Optativa;Aplicações Setoriais
PUC_Rio;5;Regulação da IA;60h;Obrigatória;Humanístico
PUC_Rio;5;Optativas de Estudos Interdisciplinares em IA;60h;Optativa;Fundamentos Técnicos
PUC_Rio;5;Projeto Integrado de Deep Learning;60h;Projeto;Especialização em IA
PUC_Rio;5;Deep Learning;60h;Obrigatória;Especialização em IA
PUC_Rio;5;Processamento de Linguagem Natural;60h;Obrigatória;Especialização em IA
PUC_Rio;5;Algoritmos e Programação;60h;Obrigatória;Fundamentos Técnicos
PUC_Rio;5;Optativas de Liderança;60h;Optativa;Soft Skills e Empreendedorismo
PUC_Rio;6;Ética Cristã;60h;Obrigatória;Humanístico
PUC_Rio;6;Orientação e Construção de Trajetória III;60h;Obrigatória;Soft Skills e Empreendedorismo
PUC_Rio;6;Projeto Integrado de IA Generativa;60h;Projeto;Especialização em IA
PUC_Rio;6;Modelos de IA Generativa;60h;Obrigatória;Especialização em IA
PUC_Rio;6;Agentes Autônomos e Sistemas Multi-Agente;60h;Obrigatória;Especialização em IA
PUC_Rio;6;Decisão Sequencial e Aprendizado;60h;Obrigatória;Especialização em IA
PUC_Rio;6;Optativas de Estudos Interdisciplinares em IA;60h;Optativa;Soft Skills e Empreendedorismo
PUC_Rio;6;Optativas de Gestão de Negócios;60h;Optativa;Soft Skills e Empreendedorismo
PUC_Rio;7;Ética Socioambiental e Direitos Humanos;60h;Obrigatória;Humanístico
PUC_Rio;7;Optativas de Estudos Avançados de IA;60h;Optativa;Especialização em IA
PUC_Rio;7;Projeto Integrado de Robótica Inteligente e Agentes;60h;Projeto;Especialização em IA
PUC_Rio;7;Controle Inteligente de Sistemas Robóticos;60h;Obrigatória;Especialização em IA
PUC_Rio;7;Optativas de Gestão Estratégica;60h;Optativa;Soft Skills e Empreendedorismo
PUC_Rio;8;Capstone em IA Aplicada;60h;Projeto;Aplicações Setoriais
PUC_Rio;8;Eletivas Livres;60h;Eletiva;Variável
UFRN;1;Matemática Discreta;60h;Obrigatória;Fundamentos Técnicos
UFRN;1;Técnicas de Contagem;30h;Obrigatória;Fundamentos Técnicos
UFRN;1;Introdução à Análise Estatística de Dados;30h;Obrigatória;Fundamentos Técnicos
UFRN;1;Algoritmos e Programação;60h;Obrigatória;Fundamentos Técnicos
UFRN;1;Práticas de Leitura e Escrita em Português I;30h;Obrigatória;Soft Skills
UFRN;1;Práticas de Leitura em Inglês;30h;Obrigatória;Soft Skills
UFRN;1;Tecnologia da Informação e Sociedade;30h;Obrigatória;Soft Skills
UFRN;2;Cálculo II / a Várias Variáveis I / Diferencial e Integral;90h;Obrigatória;Fundamentos Técnicos
UFRN;2;Pensamento Matemático;60h;Obrigatória;Fundamentos Técnicos
UFRN;2;Fundamentos de Desenvolvimento de Software I;60h;Obrigatória;Fundamentos Técnicos
UFRN;2;Tipos Abstratos de Dados;60h;Obrigatória;Fundamentos Técnicos
UFRN;2;Práticas de Leitura e Escrita em Português II;30h;Obrigatória;Soft Skills
UFRN;2;Ética e Dados;60h;Obrigatória;Soft Skills e Empreendedorismo
UFRN;3;Fundamentos de Desenvolvimento de Software II;60h;Obrigatória;Fundamentos Técnicos
UFRN;3;Estrutura de Dados;60h;Obrigatória;Fundamentos Técnicos
UFRN;3;Matemática Discreta;60h;Obrigatória;Fundamentos Técnicos
UFRN;3;Probabilidade e Inferência;60h;Obrigatória;Fundamentos Técnicos
UFRN;3;Arquitetura de Computadores;60h;Obrigatória;Fundamentos Técnicos
UFRN;3;Coleta e Raspagem de Dados;60h;Obrigatória;Especialização em IA
UFRN;3;Empreendedorismo e Formação Empreendedora;60h;Obrigatória;Soft Skills e Empreendedorismo
UFRN;4;Estrutura de Dados;60h;Obrigatória;Fundamentos Técnicos
UFRN;4;Sistemas Operacionais;60h;Obrigatória;Fundamentos Técnicos
UFRN;4;Redes de Computadores;60h;Obrigatória;Fundamentos Técnicos
UFRN;4;Banco de Dados;60h;Obrigatória;Fundamentos Técnicos
UFRN;4;Análise Visual de Dados;60h;Obrigatória;Especialização em IA
UFRN;4;Transformação Digital;60h;Obrigatória;Soft Skills e Empreendedorismo
UFRN;4;Introdução à Inteligência Artificial;60h;Obrigatória;Especialização em IA
UFRN;5;Ciência de Dados;60h;Obrigatória;Especialização em IA
UFRN;5;Aprendizado de Máquina Supervisionado;60h;Obrigatória;Especialização em IA
UFRN;5;Aprendizado de Máquina Não Supervisionado;30h;Obrigatória;Especialização em IA
UFRN;6;Aprendizado Profundo;60h;Obrigatória;Especialização em IA
UFRN;7;Visão Computacional;60h;Obrigatória;Especialização em IA
UFRN;7;Aprendizado por Reforço;60h;Obrigatória;Especialização em IA
UFRN;7;Processamento de Linguagem Natural;60h;Obrigatória;Especialização em IA
UFRN;7;Computação de Alto Desempenho;60h;Obrigatória;Especialização em IA
UFRN;7;Inteligência Artificial Generativa;60h;Obrigatória;Especialização em IA
UFRN;7;Gestão de Projetos e Metodologias Ágeis;60h;Obrigatória;Soft Skills e Empreendedorismo
UFRN;7;MLOps;60h;Obrigatória;Especialização em IA
UFRN;8;Pesquisa e Inovação;30h;Obrigatória;Soft Skills e Empreendedorismo
UFRN;8;IA, Equidade e Direitos;60h;Obrigatória;Soft Skills e Empreendedorismo
UFRN;8;Projeto Integrador;300h;Projeto;Aplicações Setoriais
UNIEVENGELICA;1;Leitura e Interpretação de Texto;60h;Obrigatória;Soft Skills
